id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0103600.1 0.78 0.57 1.14 6.95 49.41 69.12 76.21 16.96
PF3D7_0106900.1 0.85 0.33 0.25 0.62 9.74 43.12 99.74 34.96
PF3D7_0107900.1 0.19 0.25 1.11 6.56 30.24 45.32 45.17 14.46
PF3D7_0111500.1 5.1 0.93 0.23 1.45 33.65 130.59 157.61 114.85
PF3D7_0203900.1 0.1 0.05 0.05 0.61 11.09 33.25 36.21 9.26
PF3D7_0204600.1 0.16 0.09 0.22 1.75 12.83 17.88 15.67 3.75
PF3D7_0206100.1 2.92 2.69 4.39 11.8 42.83 69.81 62.33 18.98
PF3D7_0208500.1 1.23 0.28 0.12 0.72 22.39 81.73 140.39 58.45
PF3D7_0209300.1 0.26 0.35 0.96 3.41 28.74 52.94 60.99 24.74
PF3D7_0211400.1 0.16 0.07 0.1 0.09 0.38 2.88 5.19 2.81
PF3D7_0302600.1 0.15 0.04 0.06 0.35 10.47 27.12 33.46 10.79
PF3D7_0305000.1 0.86 0.49 0.84 4.34 21.53 32.71 41.4 24.93
PF3D7_0307400.1 0.67 0.26 0.15 0.65 14.6 53.5 99.36 46.73
PF3D7_0307800.1 0.6 1.37 3.11 10.03 38.64 51.49 80.7 28.85
PF3D7_0311200.1 0.17 0.25 0.49 2.4 12.83 17.62 18.89 5.94
PF3D7_0313700.1 0.28 0.13 0.08 0.69 17.97 45.62 75 27.58
PF3D7_0313800.1 0.25 0.13 0.09 1.26 21.97 54.3 79.61 30.4
PF3D7_0314300.1 0.11 0.07 0.05 0.17 3.92 16.48 27.26 9.9
PF3D7_0316300.2 2.98 1.03 0.7 1.66 48.26 209.15 471.94 232.66
PF3D7_0316400.1 0.42 0.19 0.1 0.83 16.7 47.93 62.51 16.85
PF3D7_0319200.1 0.89 2.52 3.94 11.56 45.11 69.71 76.11 18.19
PF3D7_0321000.1 2.74 6.69 10.97 34.43 107.66 172.98 186.39 52.2
PF3D7_0408900.1 0.47 0.19 0.13 0.57 22.65 91.15 112.97 32.09
PF3D7_0408900.2 0.47 0.19 0.13 0.57 22.65 91.15 112.97 32.09
PF3D7_0410700.1 12.33 2.78 0.98 2.17 18.62 66.35 165.35 125.65
PF3D7_0411200.1 0.18 0.14 0.3 3.62 29.67 41.04 34.68 7.56
PF3D7_0414100.1 0.11 0.04 0.06 0.8 11.97 21.67 17.28 3.75
PF3D7_0414700.1 2.81 0.52 0.29 1.69 14.27 31.55 46.96 28.99
PF3D7_0416100.1 1.31 0.57 0.65 2 13.08 34.4 65.16 31.84
PF3D7_0420200.1 0.43 0.16 0.06 0.45 2.95 8.31 7.31 2.39
PF3D7_0503100.1 0.23 0.06 0.09 1.21 12.25 33.38 51.36 18.39
PF3D7_0505400.1 0.82 0.26 0.11 0.52 9.01 22.53 61.86 49.94
PF3D7_0508800.1 2.35 0.61 0.75 5.14 39.88 82.46 141.18 74.52
PF3D7_0509600.1 0.32 0.35 0.72 5.45 37.92 63.27 56.07 16.9
PF3D7_0514300.1 0.18 0.18 0.59 5.46 31.49 45.73 55.13 17.23
PF3D7_0516300.1 0.27 0.91 1.99 7.09 33.88 32.06 19.34 5.17
PF3D7_0518100.1 0.07 0.05 0.17 1.83 14.93 25.16 27.22 8.11
PF3D7_0520800.1 0.28 0.3 0.62 2.79 18.05 37.79 63.17 19.49
PF3D7_0521400.1 0.12 0.07 0.16 2.08 21.98 41.74 55.85 20.07
PF3D7_0522700.1 0.24 0.25 0.31 1.52 12.37 29.03 43.51 17.69
PF3D7_0526700.1 0.23 0.25 0.48 2.49 17.07 40.83 78.15 29.45
PF3D7_0529300.1 0.25 0.1 0.08 0.92 11.42 19.13 29.65 16.06
PF3D7_0530200.1 0.29 0.16 0.1 0.3 6.19 33.36 71.41 35.34
PF3D7_0602400.1 0.17 0.18 0.66 5.53 37.05 64.05 74.48 20.71
PF3D7_0604700.1 0.39 0.27 0.28 1.15 19.66 69.66 111.53 47.53
PF3D7_0607300.1 0.12 0.08 0.06 0.23 2.19 14.69 26.29 7.57
PF3D7_0608100.1 0.43 0.64 1.19 6.41 37.03 76.65 115.76 40.35
PF3D7_0615100.1 0.15 0.12 0.2 0.33 0.41 1.02 1.34 1.44
PF3D7_0616400.1 0.25 0.37 0.58 1.14 6.5 9.43 13.21 5.09
PF3D7_0622700.1 0.1 0.12 0.44 1.62 7.9 10.47 11.81 3.68
PF3D7_0623200.1 0.76 0.89 1.91 5.64 28.55 39.38 31.7 12.21
PF3D7_0624400.1 2.52 0.85 1.96 9.75 51.55 93.68 117.32 38.49
PF3D7_0626300.1 0.17 0.22 0.26 0.53 1.65 7.05 11.48 4.16
PF3D7_0628800.1 0.08 0.04 0.06 0.88 14.84 34.5 38.75 9.22
PF3D7_0704900.1 0.29 0.1 0.08 0.99 8.43 19.26 24.07 15.21
PF3D7_0706100.1 0.35 0.09 0.11 0.5 4.11 9.49 18.39 10.44
PF3D7_0707800.1 0.34 0.21 0.22 1.51 14.41 34.54 68.28 28.46
PF3D7_0711000.1 0.45 0.33 0.56 6.33 65.57 108.83 119.5 30.91
PF3D7_0716600.1 0.15 0.09 0.09 0.96 7.73 15.09 19.98 7.08
PF3D7_0719800.1 0.44 0.61 0.9 3.78 15.22 33.45 68.03 38.54
PF3D7_0723700.1 0.16 0.17 0.24 1.55 10.28 16.38 19.11 7.33
PF3D7_0727100.1 0.15 0.08 0.06 0.32 4.54 12.25 25.2 15.19
PF3D7_0727500.1 0.14 0.09 0.09 0.74 12.39 26.7 52.76 21.52
PF3D7_0728800.1 0.43 0.27 0.3 2.08 36.77 91.21 114.54 35.63
PF3D7_0729200.1 0.21 0.13 0.1 0.61 5.53 23.14 33.68 10.9
PF3D7_0804400.1 0.21 0.12 0.09 0.44 6.97 22.07 45.07 22.16
PF3D7_0806900.1 0.47 0.34 0.55 2.44 9.91 19.48 28.52 15.19
PF3D7_0811900.1 0.55 0.2 0.18 0.96 12.45 28 60.58 32.48
PF3D7_0812220.1 0.13 0.1 0.16 1.26 17.27 39.33 52.84 17.96
PF3D7_0813700.1 1.02 0.47 0.5 4.24 37.44 61.5 60.73 15.6
PF3D7_0815700.1 0.2 0.16 0.24 0.97 5.41 12.72 17.6 7.45
PF3D7_0815900.1 0.12 0.08 0.06 0.28 0.72 5.81 11.44 2.57
PF3D7_0816600.1 0.14 0.1 0.15 3.08 45.23 84.54 74.16 17.14
PF3D7_0820800.1 0.13 0.07 0.09 0.56 6.67 13.8 19.59 7.16
PF3D7_0823600.1 0.18 0.46 0.67 0.65 2.29 2.97 3.31 0.6
PF3D7_0827500.1 0.66 0.33 0.17 1.48 19.44 67.68 130.3 70.98
PF3D7_0827600.1 0.38 0.19 0.13 1.4 19.84 50.72 88.56 33.78
PF3D7_0828200.1 0.59 0.23 0.43 6.62 54.94 72.36 71.78 23.09
PF3D7_0904700.1 1.11 0.42 0.29 0.87 11.03 42.61 176.88 106.52
PF3D7_0906200.1 0.24 0.18 0.27 1.07 8.1 14.2 22.86 12.98
PF3D7_0907900.1 0.68 0.24 0.25 3.45 51 137.34 165.78 73.74
PF3D7_0911700.1 0.22 0.08 0.16 2.46 22.52 36.44 47.86 18.05
PF3D7_0913700.1 0.84 0.5 1.31 7.69 38.45 74.51 111 42.47
