id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0100600.1 0.07 0.03 0.01 0.03 0.2 0.09 0.13 0.08
PF3D7_0100800.1 0 0 0 0 0 0 0 0
PF3D7_0100900.1 0.01 0 0.02 0.05 0.35 0.81 0.07 0
PF3D7_0101000.1 0.01 0.01 0 0.03 0.1 0 0.13 0
PF3D7_0101100.1 0.03 0.07 0.07 0.19 0.69 0.51 0.38 0.14
PF3D7_0101200.1 0.03 0.01 0.06 0.03 0.46 0.27 0.1 0
PF3D7_0101300.1 0.09 0.03 0.01 1.34 16.1 6.14 1.08 0.12
PF3D7_0101800.1 0 0 0.01 0.02 0 0 0 0
PF3D7_0101900.1 0.04 0.05 0.02 0.05 0 0.18 0 0.04
PF3D7_0102500.1 64.84 11.81 1.54 1.26 0.72 1 1.75 29.36
PF3D7_0102600.1 0.46 0.22 0.91 7.65 29.72 14.03 9.21 1.89
PF3D7_0102700.1 6.02 3.41 2.18 2.53 9.62 12.06 8.48 2.36
PF3D7_0103900.1 0.21 0.26 0.63 4.19 39.77 81.33 105.06 29.22
PF3D7_0104000.1 0.2 0.12 0.1 0.36 0.22 1.34 6.52 6.9
PF3D7_0104200.1 48.04 8.01 1.64 6.07 47.87 63.88 71.96 47.78
PF3D7_0106600.1 0.82 0.21 0.16 0.53 1.07 2.42 5.12 3.24
PF3D7_0109100.1 2.87 0.52 0.28 0.42 0.67 1.25 1.04 1.77
PF3D7_0112800.1 2.39 2.08 2.22 3.63 7.75 9.88 10.83 7.68
PF3D7_0113000.1 7.8 64.95 104.92 313.06 893.43 1772.81 860.08 67.05
PF3D7_0113300.1 5.51 7.07 8.44 10.6 9.17 10.39 9.58 2.23
PF3D7_0113700.1 5.7 10.91 13.11 23.77 41.55 30.1 19.51 4.79
PF3D7_0113900.1 5.38 10.3 12.09 13.23 12.74 11.23 14.3 7.79
PF3D7_0114100.1 0.02 0.01 0.03 0.15 2.63 4.11 1.42 0.38
PF3D7_0114200.1 0.02 0.01 0.01 0.08 0.05 0.36 0.4 0.21
PF3D7_0114500.1 0.23 0.1 1.78 37.81 240.29 31.79 9.43 6.8
PF3D7_0114700.1 0.02 0.01 0.05 0.69 4.88 1.07 0.29 0.09
PF3D7_0114800.1 0.06 0.12 0.35 0.98 6.65 1.79 0.22 0.41
PF3D7_0115100.1 0.04 0.01 0.03 0.04 0.12 0.32 0.71 0.35
PF3D7_0115300.1 0.02 0.01 0 0.02 0.21 0 0.07 0.04
PF3D7_0115400.1 0.01 0 0.01 0.08 0.35 0.94 0.23 0.19
PF3D7_0115600.1 0.1 0.31 0.57 1.44 11.31 5.31 2.02 1.3
PF3D7_0200200.1 0.11 0.09 0.09 0.16 0.37 0.09 0.21 0.22
PF3D7_0200400.1 0 0.01 0.02 0 0 0.1 0 0.05
PF3D7_0200600.1 0 0 0.01 0.02 0.05 0.08 0.19 0.04
PF3D7_0201000.1 0.01 0.01 0.01 0 0.06 0.1 0.22 0
PF3D7_0201200.1 0 0 0.01 0.02 0.05 0.18 0.07 0.04
PF3D7_0201300.1 0 0 0.01 0 0.17 0.1 0.15 0.05
PF3D7_0201400.1 0.01 0 0 0.19 1.24 0.2 0.3 0.18
PF3D7_0201500.1 3.24 3.28 10.75 59.49 192.97 187.17 196.82 62.52
PF3D7_0201800.1 3.82 13.33 22.72 53.53 124.9 82.87 26.56 4.4
PF3D7_0201900.1 0.59 4.91 42.11 143.68 249.38 169.48 134.8 21.95
PF3D7_0202000.1 37.91 588.94 1118.02 2716.32 3896.93 2641.26 1461.82 313.19
PF3D7_0202500.1 1546.86 706 573.2 1355.24 1213.85 292.07 80.42 300.73
PF3D7_0206800.1 150.97 37.65 6.26 9.8 32.46 54.12 388.22 1430.83
PF3D7_0206900.1 36.73 6.7 1.08 1.83 18.6 54.07 54.55 34.55
PF3D7_0207000.1 60.57 11.76 1.96 2.13 30.31 195.25 639.29 790
PF3D7_0207500.1 0.94 0.28 0.08 0.06 0.15 12.39 151.99 170.08
PF3D7_0207600.1 9.38 1.61 0.36 0.29 0.34 27.05 820.68 1387.55
PF3D7_0207700.1 1 0.2 0.05 0.07 0.17 4.81 80.3 107.93
PF3D7_0208900.1 0.01 0.02 0.03 0.11 0.33 0.64 0.44 0.06
PF3D7_0209000.1 0.08 0.13 0.15 0.31 0.61 0.36 0.47 0.16
PF3D7_0212600.1 45.56 11.04 1.87 1.38 5.38 22.34 16.22 30.4
PF3D7_0214900.1 65.02 10.9 1.96 1.64 6.14 15.21 88.04 415.69
