id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0100600.1 0.07 0.03 0.01 0.03 0.2 0.09 0.13 0.08
PF3D7_0100800.1 0 0 0 0 0 0 0 0
PF3D7_0100900.1 0.01 0 0.02 0.05 0.35 0.81 0.07 0
PF3D7_0101000.1 0.01 0.01 0 0.03 0.1 0 0.13 0
PF3D7_0101100.1 0.03 0.07 0.07 0.19 0.69 0.51 0.38 0.14
PF3D7_0101200.1 0.03 0.01 0.06 0.03 0.46 0.27 0.1 0
PF3D7_0101300.1 0.09 0.03 0.01 1.34 16.1 6.14 1.08 0.12
PF3D7_0101800.1 0 0 0.01 0.02 0 0 0 0
PF3D7_0101900.1 0.04 0.05 0.02 0.05 0 0.18 0 0.04
PF3D7_0102300.1 0.97 0.63 0.54 0.9 109.56 856.74 1157.56 224.87
PF3D7_0102500.1 64.84 11.81 1.54 1.26 0.72 1 1.75 29.36
PF3D7_0102600.1 0.46 0.22 0.91 7.65 29.72 14.03 9.21 1.89
PF3D7_0102700.1 6.02 3.41 2.18 2.53 9.62 12.06 8.48 2.36
PF3D7_0103200.1 1.54 1.58 3.9 17.43 131.12 184.31 179.75 72.04
PF3D7_0103600.1 0.78 0.57 1.14 6.95 49.41 69.12 76.21 16.96
PF3D7_0103900.1 0.21 0.26 0.63 4.19 39.77 81.33 105.06 29.22
PF3D7_0104000.1 0.2 0.12 0.1 0.36 0.22 1.34 6.52 6.9
PF3D7_0104200.1 48.04 8.01 1.64 6.07 47.87 63.88 71.96 47.78
PF3D7_0104500.1 0.59 2.64 6.71 28.1 143.09 198.54 137.45 20.61
PF3D7_0104700.1 0.05 0.04 0.04 0.02 0.22 0.66 0.72 0.16
PF3D7_0105400.1 6.11 1.17 0.22 0.33 0.5 1.12 10.39 78.92
PF3D7_0105400.2 6.11 1.17 0.22 0.33 0.5 1.12 10.39 78.92
PF3D7_0106600.1 0.82 0.21 0.16 0.53 1.07 2.42 5.12 3.24
PF3D7_0106900.1 0.85 0.33 0.25 0.62 9.74 43.12 99.74 34.96
PF3D7_0107300.1 0.13 0.07 0.04 0.1 1.2 3.86 3.26 0.98
PF3D7_0107700.1 0.18 0.13 0.13 0.41 7.47 24.39 28.93 9.51
PF3D7_0107900.1 0.19 0.25 1.11 6.56 30.24 45.32 45.17 14.46
PF3D7_0108700.1 1.5 2.5 4.17 14.37 46.9 77.63 123.83 50.38
PF3D7_0109100.1 2.87 0.52 0.28 0.42 0.67 1.25 1.04 1.77
PF3D7_0109850.1 0.3 0.17 0.31 1.29 3.24 9.92 27.27 19.9
PF3D7_0110000.1 2.13 2.18 2.59 7.4 34.31 66.63 68.68 24.51
PF3D7_0111500.1 5.1 0.93 0.23 1.45 33.65 130.59 157.61 114.85
PF3D7_0112000.1 0.29 0.45 1 3.41 20.37 36.14 47.09 17.58
PF3D7_0112100.1 0.14 0.2 0.44 0.75 0.54 1.34 0.28 0
PF3D7_0112800.1 2.39 2.08 2.22 3.63 7.75 9.88 10.83 7.68
PF3D7_0112900.1 4.58 0.61 0.3 0.84 1.79 4.67 3.45 2.53
PF3D7_0113000.1 7.8 64.95 104.92 313.06 893.43 1772.81 860.08 67.05
PF3D7_0113300.1 5.51 7.07 8.44 10.6 9.17 10.39 9.58 2.23
PF3D7_0113700.1 5.7 10.91 13.11 23.77 41.55 30.1 19.51 4.79
PF3D7_0113900.1 5.38 10.3 12.09 13.23 12.74 11.23 14.3 7.79
PF3D7_0114100.1 0.02 0.01 0.03 0.15 2.63 4.11 1.42 0.38
PF3D7_0114200.1 0.02 0.01 0.01 0.08 0.05 0.36 0.4 0.21
PF3D7_0114500.1 0.23 0.1 1.78 37.81 240.29 31.79 9.43 6.8
PF3D7_0114700.1 0.02 0.01 0.05 0.69 4.88 1.07 0.29 0.09
PF3D7_0114800.1 0.06 0.12 0.35 0.98 6.65 1.79 0.22 0.41
PF3D7_0115100.1 0.04 0.01 0.03 0.04 0.12 0.32 0.71 0.35
PF3D7_0115300.1 0.02 0.01 0 0.02 0.21 0 0.07 0.04
PF3D7_0115400.1 0.01 0 0.01 0.08 0.35 0.94 0.23 0.19
PF3D7_0115600.1 0.1 0.31 0.57 1.44 11.31 5.31 2.02 1.3
PF3D7_0200200.1 0.11 0.09 0.09 0.16 0.37 0.09 0.21 0.22
PF3D7_0200400.1 0 0.01 0.02 0 0 0.1 0 0.05
PF3D7_0200600.1 0 0 0.01 0.02 0.05 0.08 0.19 0.04
PF3D7_0201000.1 0.01 0.01 0.01 0 0.06 0.1 0.22 0
