id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0102300.1 0.97 0.63 0.54 0.9 109.56 856.74 1157.56 224.87
PF3D7_0103200.1 1.54 1.58 3.9 17.43 131.12 184.31 179.75 72.04
PF3D7_0104500.1 0.59 2.64 6.71 28.1 143.09 198.54 137.45 20.61
PF3D7_0104700.1 0.05 0.04 0.04 0.02 0.22 0.66 0.72 0.16
PF3D7_0105400.1 6.11 1.17 0.22 0.33 0.5 1.12 10.39 78.92
PF3D7_0105400.2 6.11 1.17 0.22 0.33 0.5 1.12 10.39 78.92
PF3D7_0107300.1 0.13 0.07 0.04 0.1 1.2 3.86 3.26 0.98
PF3D7_0107700.1 0.18 0.13 0.13 0.41 7.47 24.39 28.93 9.51
PF3D7_0108700.1 1.5 2.5 4.17 14.37 46.9 77.63 123.83 50.38
PF3D7_0109850.1 0.3 0.17 0.31 1.29 3.24 9.92 27.27 19.9
PF3D7_0110000.1 2.13 2.18 2.59 7.4 34.31 66.63 68.68 24.51
PF3D7_0112000.1 0.29 0.45 1 3.41 20.37 36.14 47.09 17.58
PF3D7_0112100.1 0.14 0.2 0.44 0.75 0.54 1.34 0.28 0
PF3D7_0112900.1 4.58 0.61 0.3 0.84 1.79 4.67 3.45 2.53
PF3D7_0204100.1 1.36 0.34 0.17 0.33 2.3 8.86 35.25 53.12
PF3D7_0204200.1 24.13 8.41 9.25 31.89 108.02 128.29 125.27 65.94
PF3D7_0207400.1 1.15 0.43 0.14 0.07 0.45 14.37 128.84 111.33
PF3D7_0207800.1 1.22 0.35 0.15 0.15 0.57 11.67 95.15 116.42
PF3D7_0207900.1 0.21 0.09 0.05 0.03 0.34 2.39 13.79 11.96
PF3D7_0208000.1 0.58 0.19 0.09 0.07 0.46 1.58 20.87 34.26
PF3D7_0208800.1 0.48 0.98 1.85 6 23.55 33.77 43.66 19.67
PF3D7_0210300.1 0.34 0.15 0.15 1.24 15.16 41 63.12 40.93
PF3D7_0210600.1 22.39 4.27 0.86 0.59 1.67 3.38 6.4 28.59
PF3D7_0210800.1 5.33 5.13 5.6 9.4 24.33 23.48 17.95 5.41
PF3D7_0211600.1 0.28 0.13 0.06 0.11 1.18 6.9 17.61 19.14
PF3D7_0211900.1 0.5 0.23 0.24 0.93 14.33 60.21 98.75 39.34
PF3D7_0212000.1 0.47 0.25 0.16 0.57 8.08 50.89 85.58 42.69
PF3D7_0215000.1 1.23 1.41 3.04 11.41 39.38 70.26 92.93 35.91
PF3D7_0215300.1 3.37 1.99 3.64 6.68 7.03 3.05 2.07 0.78
PF3D7_0215900.1 0.24 0.03 0.04 0.07 0.68 3.74 10.34 10.23
PF3D7_0216600.1 8.66 3.57 3.36 8.08 22.82 29.72 45.63 45.91
PF3D7_0216800.1 0.32 0.08 0.02 0.02 0.25 1.23 11.04 14.74
PF3D7_0217000.1 0.11 0.08 0.08 0.19 0.69 2.13 8.19 6.25
PF3D7_0218300.1 0.98 0.31 0.39 4.27 30.76 63.72 73.44 33.27
PF3D7_0219500.1 0.75 0.25 0.22 0.64 16.61 55.57 86.03 34.92
PF3D7_0220200.1 31.94 26.03 38.78 242.85 1496.09 1319.33 785.62 157.42
PF3D7_0220300.1 1.26 0.6 1.69 16.01 67.78 43.19 41.16 13.15
PF3D7_0221000.1 0.01 0.02 0.06 0.19 0.64 0.73 1.07 0.53
PF3D7_0301000.1 0.24 0.13 0.09 0.1 0.32 0.15 0.14 0.16
PF3D7_0301400.1 0.12 0.11 0.85 8.07 46.72 57.46 55 10.35
PF3D7_0303900.1 0.3 0.2 0.23 0.5 0.99 0.8 3.88 4.03
PF3D7_0304700.1 0.03 0.02 0.02 0.06 1.13 4.86 9.15 3.74
PF3D7_0306600.1 1.1 0.23 0.29 1.09 13.01 57.51 80.59 49.76
PF3D7_0306700.1 1.19 3.35 6 16.98 61.47 82.39 92.04 48.61
PF3D7_0309100.1 0.53 0.5 0.52 1.28 6.15 11.44 25.6 14.99
PF3D7_0310000.1 0.38 0.24 0.2 0.5 16.41 60.62 103.01 45.65
PF3D7_0310800.1 10.81 5.86 9.21 31.37 115.27 142.34 181.2 86.12
PF3D7_0311600.1 1.05 0.26 0.19 0.77 12.78 33.16 25.01 4.73
PF3D7_0311700.1 0.36 0.38 0.36 0.62 1.56 4.73 7.57 5.26
PF3D7_0312500.1 0.21 0.26 0.71 3.5 15.71 21.67 17.08 3.45
PF3D7_0313200.1 0.53 0.63 0.67 2.61 19.5 54.93 89.75 32.98
PF3D7_0313300.1 0.37 0.53 0.59 2.09 9.54 24.63 45.03 18.44
PF3D7_0313700.2 0.28 0.13 0.08 0.69 17.97 45.62 75 27.58
PF3D7_0313900.1 0.08 0.03 0.05 0.25 3.29 7.09 10.94 4.69
PF3D7_0314000.1 1.6 0.73 0.52 2.26 21.94 47.03 85.53 81.84
PF3D7_0315400.1 1 0.32 0.49 7.16 77.46 174.19 308.5 138.58
PF3D7_0315900.1 4.72 1.06 0.56 0.25 0.19 0.91 0.84 2.09
PF3D7_0318000.1 0.01 0.04 0.06 0.17 0.61 0.93 1.6 0.36
PF3D7_0318300.1 1.65 2.46 3.59 8.64 22.1 33.84 60.76 28.87
PF3D7_0318800.1 0.39 0.04 0.05 0.2 0.45 0.18 0.65 0.32
PF3D7_0318900.1 4.68 8.71 15.46 53.81 204.32 260.53 364.21 153.69
PF3D7_0320200.1 0.27 0.26 0.35 0.97 3.62 8.9 11.91 3.55
PF3D7_0401900.1 8.76 6.8 3.79 4 1.81 2.27 1.51 1.01
PF3D7_0402400.1 33.87 28 33.48 77.66 369.09 346.91 285.2 185.7
PF3D7_0402900.1 3.76 0.7 0.53 1.12 2.66 2.84 1.4 0.29
PF3D7_0403300.1 3.01 4.73 7.78 16.06 54.67 70.21 95.61 33.66
PF3D7_0404800.1 3 0.53 0.18 0.3 0.94 1.44 3.56 5.13
PF3D7_0407100.1 1.12 1.23 1.75 3.17 18.66 28.58 32.17 11.94
PF3D7_0407200.1 3.76 5.31 7.01 18.87 67.29 85.23 94.87 23.82
PF3D7_0408800.1 0.01 0.02 0.01 0.07 0.11 0 0.22 0.14
PF3D7_0409000.1 0.17 0.08 0.09 0.34 2.59 3.79 8.45 4.82
PF3D7_0409500.1 0.37 0.16 0.1 0.28 1.91 34.43 61.03 28.11
PF3D7_0409700.1 1.72 0.44 0.29 2.26 22.4 41.2 52.96 29.09
PF3D7_0411700.1 0.12 0.12 0.11 0.25 1.15 0.23 0.5 0.31
PF3D7_0413800.1 0.14 0.07 0.06 0.4 2.97 8.63 17.79 9.03
PF3D7_0415700.1 2.01 0.34 0.06 0.29 4.3 15.75 32.57 14.41
PF3D7_0417000.1 0.05 0.05 0.05 0.15 0.45 1.26 0.76 0.47
PF3D7_0418800.1 0.3 0.2 0.29 0.38 0.54 1.2 0.71 0.44
PF3D7_0419200.1 2.17 1.32 2.28 5.84 29.29 62.32 134.79 94.56
PF3D7_0419400.1 0.49 0.09 0.04 0.07 0.24 0.97 14.59 24.54
