FOLD,EPOCH,TP,FP,FN,TN,ACCURACY,MCC,PPV,RECALL
0,0,14,8,18,70,0.763636363636,0.380304365287,0.636363636364,0.4375
0,1,23,5,9,73,0.872727272727,0.682564693063,0.821428571429,0.71875
0,2,24,3,8,75,0.9,0.750930497509,0.888888888889,0.75
0,8,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,10,27,3,5,75,0.927272727273,0.821236315891,0.9,0.84375
0,14,27,3,5,75,0.927272727273,0.821236315891,0.9,0.84375
0,16,27,2,5,76,0.936363636364,0.843319104378,0.931034482759,0.84375
0,19,27,3,5,75,0.927272727273,0.821236315891,0.9,0.84375
0,24,27,4,5,74,0.918181818182,0.800036137037,0.870967741935,0.84375
0,28,27,4,5,74,0.918181818182,0.800036137037,0.870967741935,0.84375
0,43,27,4,5,74,0.918181818182,0.800036137037,0.870967741935,0.84375
0,44,27,5,5,73,0.909090909091,0.779647435897,0.84375,0.84375
0,47,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,48,28,3,4,75,0.936363636364,0.844527529896,0.903225806452,0.875
0,49,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,52,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,53,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,56,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,59,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,64,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,73,27,4,5,74,0.918181818182,0.800036137037,0.870967741935,0.84375
0,78,27,4,5,74,0.918181818182,0.800036137037,0.870967741935,0.84375
0,84,27,4,5,74,0.918181818182,0.800036137037,0.870967741935,0.84375
0,88,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,90,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,92,27,3,5,75,0.927272727273,0.821236315891,0.9,0.84375
0,93,28,4,4,74,0.927272727273,0.823717948718,0.875,0.875
0,98,27,4,5,74,0.918181818182,0.800036137037,0.870967741935,0.84375
1,0,24,2,13,71,0.863636363636,0.690881156088,0.923076923077,0.648648648649
1,5,30,3,7,70,0.909090909091,0.793578447952,0.909090909091,0.810810810811
1,9,31,3,6,70,0.918181818182,0.814579957585,0.911764705882,0.837837837838
1,10,29,3,8,70,0.9,0.772585131943,0.90625,0.783783783784
1,12,29,3,8,70,0.9,0.772585131943,0.90625,0.783783783784
1,15,30,3,7,70,0.909090909091,0.793578447952,0.909090909091,0.810810810811
1,16,30,3,7,70,0.909090909091,0.793578447952,0.909090909091,0.810810810811
1,20,31,3,6,70,0.918181818182,0.814579957585,0.911764705882,0.837837837838
1,21,31,2,6,71,0.927272727273,0.835566725622,0.939393939394,0.837837837838
1,25,31,2,6,71,0.927272727273,0.835566725622,0.939393939394,0.837837837838
1,26,31,4,6,69,0.909090909091,0.794297920854,0.885714285714,0.837837837838
1,28,31,2,6,71,0.927272727273,0.835566725622,0.939393939394,0.837837837838
1,34,31,2,6,71,0.927272727273,0.835566725622,0.939393939394,0.837837837838
1,36,31,2,6,71,0.927272727273,0.835566725622,0.939393939394,0.837837837838
1,39,32,2,5,71,0.936363636364,0.856217408949,0.941176470588,0.864864864865
1,43,32,1,5,72,0.945454545455,0.877555003291,0.969696969697,0.864864864865
1,46,30,1,7,72,0.927272727273,0.837119281404,0.967741935484,0.810810810811
1,54,31,3,6,70,0.918181818182,0.814579957585,0.911764705882,0.837837837838
1,64,31,1,6,72,0.936363636364,0.857315305935,0.96875,0.837837837838
1,65,31,2,6,71,0.927272727273,0.835566725622,0.939393939394,0.837837837838
1,68,31,3,6,70,0.918181818182,0.814579957585,0.911764705882,0.837837837838
1,73,31,3,6,70,0.918181818182,0.814579957585,0.911764705882,0.837837837838
1,76,31,2,6,71,0.927272727273,0.835566725622,0.939393939394,0.837837837838
1,80,31,2,6,71,0.927272727273,0.835566725622,0.939393939394,0.837837837838
1,83,31,3,6,70,0.918181818182,0.814579957585,0.911764705882,0.837837837838
