FOLD,EPOCH,TP,FP,FN,TN,ACCURACY,MCC,PPV,RECALL
0,0,27,19,2,62,0.809090909091,0.622118173281,0.586956521739,0.931034482759
0,2,27,13,2,68,0.863636363636,0.705761641934,0.675,0.931034482759
0,3,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,8,27,10,2,71,0.890909090909,0.753118871856,0.72972972973,0.931034482759
0,10,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,11,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,14,27,12,2,69,0.872727272727,0.721072184644,0.692307692308,0.931034482759
0,16,27,12,2,69,0.872727272727,0.721072184644,0.692307692308,0.931034482759
0,20,27,12,2,69,0.872727272727,0.721072184644,0.692307692308,0.931034482759
0,21,27,12,2,69,0.872727272727,0.721072184644,0.692307692308,0.931034482759
0,23,27,12,2,69,0.872727272727,0.721072184644,0.692307692308,0.931034482759
0,26,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,27,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,28,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,35,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,38,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,40,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,41,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,43,27,12,2,69,0.872727272727,0.721072184644,0.692307692308,0.931034482759
0,46,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,47,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,51,27,11,2,70,0.881818181818,0.736846995435,0.710526315789,0.931034482759
0,59,27,13,2,68,0.863636363636,0.705761641934,0.675,0.931034482759
0,63,27,12,2,69,0.872727272727,0.721072184644,0.692307692308,0.931034482759
