FOLD;EPOCH;TP;FP;FN;TN;ACCURACY;MCC;PPV;RECALL;;FOLD;EPOCH;TP;FP;FN;TN;ACCURACY;MCC;PPV;RECALL
0;0;14;2;16;78;0.8363636364;0.5579256477;0.875;0.4666666667;;0;7;24;3;6;77;0.9181818182;0.7890863678;0.8888888889;0.8
0;1;19;6;11;74;0.8454545455;0.5933619733;0.76;0.6333333333;;1;61;28;1;7;74;0.9272727273;0.8315988761;0.9655172414;0.8
0;2;21;5;9;75;0.8727272727;0.6682815834;0.8076923077;0.7;;2;76;33;3;8;65;0.8990825688;0.783576862;0.9166666667;0.8048780488
0;3;22;5;8;75;0.8818181818;0.6942235258;0.8148148148;0.7333333333;;3;90;24;9;1;75;0.9082568807;0.780408826;0.7272727273;0.96
0;4;23;4;7;76;0.9;0.7416549468;0.8518518519;0.7666666667;;4;87;26;3;11;69;0.871559633;0.7083505791;0.8965517241;0.7027027027
0;5;23;4;7;76;0.9;0.7416549468;0.8518518519;0.7666666667;;5;92;34;6;3;66;0.9174311927;0.8209250512;0.85;0.9189189189
0;6;24;4;6;76;0.9090909091;0.7667979487;0.8571428571;0.8;;;;28.1666666667;4.1666666667;6;71;0.9069641368;0.7856577604;0.8741495414;0.8310832784
0;7;24;3;6;77;0.9181818182;0.7890863678;0.8888888889;0.8;;;;4.4007575106;2.8577380332;3.577708764;5.0199601592;0.0198247505;0.0432998961;0.0812783705;0.0932043427
0;8;24;3;6;77;0.9181818182;0.7890863678;0.8888888889;0.8;;;;;;;;;;;
0;9;24;3;6;77;0.9181818182;0.7890863678;0.8888888889;0.8;;;;;;;;;;;
0;10;23;3;7;77;0.9090909091;0.7643743601;0.8846153846;0.7666666667;;;;;;;;;;;
0;11;24;3;6;77;0.9181818182;0.7890863678;0.8888888889;0.8;;;;;;;;;;;
0;12;24;3;6;77;0.9181818182;0.7890863678;0.8888888889;0.8;;;;;;;;;;;
0;13;24;3;6;77;0.9181818182;0.7890863678;0.8888888889;0.8;;;;;;;;;;;
0;14;24;4;6;76;0.9090909091;0.7667979487;0.8571428571;0.8;;;;;;;;;;;
0;15;25;4;5;76;0.9181818182;0.79179129;0.8620689655;0.8333333333;;;;;;;;;;;
0;16;25;4;5;76;0.9181818182;0.79179129;0.8620689655;0.8333333333;;;;;;;;;;;
0;17;24;4;6;76;0.9090909091;0.7667979487;0.8571428571;0.8;;;;;;;;;;;
0;18;24;4;6;76;0.9090909091;0.7667979487;0.8571428571;0.8;;;;;;;;;;;
0;19;24;4;6;76;0.9090909091;0.7667979487;0.8571428571;0.8;;;;;;;;;;;
0;20;24;4;6;76;0.9090909091;0.7667979487;0.8571428571;0.8;;;;;;;;;;;
0;21;24;4;6;76;0.9090909091;0.7667979487;0.8571428571;0.8;;;;;;;;;;;
0;22;24;4;6;76;0.9090909091;0.7667979487;0.8571428571;0.8;;;;;;;;;;;
