id first_aa_of_tp
PF3D7_0102300.1 23
PF3D7_0103200.1 23
PF3D7_0104500.1 21
PF3D7_0104700.1 28
PF3D7_0105400.1 21
PF3D7_0105400.2 21
PF3D7_0107300.1 23
PF3D7_0107700.1 25
PF3D7_0108700.1 20
PF3D7_0109850.1 18
PF3D7_0110000.1 30
PF3D7_0112000.1 27
PF3D7_0112100.1 28
PF3D7_0112900.1 27
PF3D7_0204100.1 22
PF3D7_0204200.1 18
PF3D7_0207400.1 23
PF3D7_0207800.1 23
PF3D7_0207900.1 23
PF3D7_0208000.1 25
PF3D7_0208800.1 27
PF3D7_0210300.1 28
PF3D7_0210600.1 23
PF3D7_0210800.1 26
PF3D7_0211600.1 30
PF3D7_0211900.1 17
PF3D7_0212000.1 22
PF3D7_0215000.1 19
PF3D7_0215300.1 27
PF3D7_0215900.1 29
PF3D7_0216600.1 26
PF3D7_0216800.1 25
PF3D7_0217000.1 25
PF3D7_0218300.1 27
PF3D7_0219500.1 25
PF3D7_0220200.1 22
PF3D7_0220300.1 18
PF3D7_0221000.1 20
PF3D7_0301000.1 23
PF3D7_0301400.1 29
PF3D7_0303900.1 23
PF3D7_0304700.1 22
PF3D7_0306600.1 24
PF3D7_0306700.1 24
PF3D7_0309100.1 26
PF3D7_0310000.1 24
PF3D7_0310800.1 18
PF3D7_0311600.1 20
PF3D7_0311700.1 25
PF3D7_0312500.1 22
PF3D7_0313200.1 20
PF3D7_0313300.1 24
PF3D7_0313700.2 26
PF3D7_0313900.1 22
PF3D7_0314000.1 21
PF3D7_0315400.1 19
PF3D7_0315900.1 24
PF3D7_0318000.1 20
PF3D7_0318300.1 29
PF3D7_0318800.1 24
PF3D7_0318900.1 23
PF3D7_0320200.1 19
PF3D7_0401900.1 27
PF3D7_0402400.1 31
PF3D7_0402900.1 23
PF3D7_0403300.1 22
PF3D7_0404800.1 24
PF3D7_0407100.1 18
PF3D7_0407200.1 33
PF3D7_0408800.1 22
PF3D7_0409000.1 21
PF3D7_0409500.1 28
PF3D7_0409700.1 22
PF3D7_0411700.1 28
PF3D7_0413800.1 24
PF3D7_0415700.1 25
PF3D7_0417000.1 30
PF3D7_0418800.1 20
PF3D7_0419200.1 24
PF3D7_0419400.1 26
PF3D7_0421900.1 18
PF3D7_0422000.1 38
PF3D7_0422100.1 23
PF3D7_0422800.1 22
PF3D7_0423300.1 40
PF3D7_0423900.1 24
PF3D7_0502500.1 22
PF3D7_0504200.1 21
PF3D7_0504500.1 22
PF3D7_0505700.1 22
PF3D7_0506400.1 32
PF3D7_0507200.1 23
PF3D7_0507300.1 26
PF3D7_0507400.1 28
PF3D7_0508200.1 25
PF3D7_0511100.1 24
PF3D7_0513000.1 20
PF3D7_0513500.1 24
PF3D7_0514200.1 22
PF3D7_0516600.1 28
PF3D7_0517100.1 19
PF3D7_0518800.1 19
PF3D7_0519900.1 23
PF3D7_0522500.1 17
PF3D7_0524200.1 17
PF3D7_0525700.1 20
PF3D7_0526100.1 28
PF3D7_0526900.1 28
PF3D7_0528900.1 19
PF3D7_0529000.1 28
PF3D7_0529100.1 26
PF3D7_0530300.1 40
PF3D7_0530500.1 25
PF3D7_0530800.1 23
PF3D7_0532500.1 24
PF3D7_0602300.1 22
PF3D7_0604400.1 19
PF3D7_0604900.1 38
PF3D7_0606800.1 21
PF3D7_0609100.1 30
PF3D7_0609500.1 18
PF3D7_0611100.1 25
PF3D7_0612300.1 19
PF3D7_0613100.1 21
PF3D7_0613200.1 23
PF3D7_0613400.1 21
PF3D7_0613600.1 37
PF3D7_0615300.1 21
PF3D7_0618400.1 22
PF3D7_0619100.1 23
PF3D7_0620200.1 38
PF3D7_0621000.1 69
PF3D7_0622000.1 22
PF3D7_0622200.1 21
PF3D7_0623300.1 27
PF3D7_0623500.1 27
PF3D7_0624300.1 23
PF3D7_0624800.1 23
PF3D7_0625400.1 21
PF3D7_0626600.1 16
PF3D7_0629200.1 19
PF3D7_0630000.1 23
PF3D7_0630200.1 33
PF3D7_0630400.1 22
PF3D7_0702600.1 21
PF3D7_0702900.1 24
PF3D7_0705800.1 23
PF3D7_0709100.1 17
PF3D7_0709800.1 25
PF3D7_0710300.1 23
PF3D7_0710500.1 46
PF3D7_0713400.1 29
PF3D7_0713700.1 22
PF3D7_0715200.1 19
PF3D7_0715400.1 23
PF3D7_0716300.1 24
PF3D7_0716900.1 20
PF3D7_0719400.1 28
PF3D7_0721100.1 27
PF3D7_0721700.1 17
PF3D7_0721900.1 21
PF3D7_0722800.1 18
PF3D7_0723200.1 21
PF3D7_0724400.1 20
PF3D7_0725400.1 24
PF3D7_0726700.1 20
PF3D7_0730800.1 27
PF3D7_0730800.2 20
PF3D7_0731600.1 22
PF3D7_0731800.1 22
PF3D7_0805600.1 23
PF3D7_0806200.1 25
PF3D7_0810100.1 21
PF3D7_0811600.1 21
PF3D7_0815300.1 22
PF3D7_0817100.1 29
PF3D7_0817500.1 22
PF3D7_0817800.1 26
PF3D7_0819700.1 36
PF3D7_0820100.1 23
PF3D7_0820300.1 29
PF3D7_0820600.1 24
PF3D7_0825200.1 27
PF3D7_0825700.1 21
PF3D7_0825800.1 29
PF3D7_0827400.1 25
PF3D7_0827700.1 22
PF3D7_0829200.1 20
PF3D7_0830900.1 18
PF3D7_0831300.1 22
PF3D7_0831400.1 27
PF3D7_0902800.1 23
PF3D7_0902900.1 24
PF3D7_0904300.1 25
PF3D7_0904400.1 31
PF3D7_0907800.1 21
PF3D7_0908100.1 21
PF3D7_0908300.1 24
PF3D7_0908300.2 24
PF3D7_0909200.1 22
PF3D7_0909600.1 23
PF3D7_0910300.1 29
PF3D7_0910800.1 24
PF3D7_0911600.1 26
PF3D7_0912200.1 28
PF3D7_0912400.1 23
PF3D7_0913500.1 19
PF3D7_0914000.1 32
PF3D7_0914200.1 26
PF3D7_0916300.1 22
PF3D7_0917200.1 48
PF3D7_0918400.1 18
PF3D7_0918800.1 27
PF3D7_0919100.1 22
PF3D7_0919600.1 22
PF3D7_0920300.1 24
PF3D7_0922300.1 19
PF3D7_0923200.1 21
PF3D7_0924500.1 28
PF3D7_0925100.1 28
PF3D7_0925900.1 21
PF3D7_0926200.1 19
PF3D7_0926400.1 30
PF3D7_0926600.1 25
PF3D7_0931500.1 29
PF3D7_0932100.1 18
PF3D7_0932500.1 24
PF3D7_0932600.1 28
PF3D7_0933300.1 30
PF3D7_0935100.1 25
PF3D7_0935300.1 22
PF3D7_0937100.1 28
PF3D7_1002300.1 29
PF3D7_1003200.1 19
PF3D7_1005300.1 25
PF3D7_1006300.1 21
PF3D7_1007000.1 13
PF3D7_1008500.1 24
PF3D7_1009100.1 24
PF3D7_1009600.1 33
PF3D7_1010700.1 23
PF3D7_1013000.1 19
PF3D7_1013300.1 26
PF3D7_1013700.1 15
PF3D7_1014100.1 22
PF3D7_1014200.1 31
PF3D7_1016100.1 16
PF3D7_1018300.1 29
PF3D7_1019800.1 17
PF3D7_1021400.1 24
PF3D7_1023300.1 36
PF3D7_1024000.1 23
PF3D7_1024800.1 28
