id first_aa_of_tp
PF3D7_0100600.1 25
PF3D7_0100800.1 22
PF3D7_0100900.1 22
PF3D7_0101000.1 24
PF3D7_0101100.1 17
PF3D7_0101200.1 24
PF3D7_0101300.1 26
PF3D7_0101800.1 20
PF3D7_0101900.1 25
PF3D7_0102500.1 27
PF3D7_0102600.1 32
PF3D7_0102700.1 22
PF3D7_0103900.1 30
PF3D7_0104000.1 18
PF3D7_0104200.1 24
PF3D7_0106600.1 20
PF3D7_0109100.1 22
PF3D7_0112800.1 26
PF3D7_0113000.1 20
PF3D7_0113300.1 30
PF3D7_0113700.1 35
PF3D7_0113900.1 28
PF3D7_0114100.1 21
PF3D7_0114200.1 24
PF3D7_0114500.1 17
PF3D7_0114700.1 22
PF3D7_0114800.1 25
PF3D7_0115100.1 25
PF3D7_0115300.1 22
PF3D7_0115400.1 22
PF3D7_0115600.1 23
PF3D7_0200200.1 23
PF3D7_0200400.1 21
PF3D7_0200600.1 25
PF3D7_0201000.1 20
PF3D7_0201200.1 22
PF3D7_0201300.1 22
PF3D7_0201400.1 17
PF3D7_0201500.1 26
PF3D7_0201800.1 35
PF3D7_0201900.1 36
PF3D7_0202000.1 35
PF3D7_0202500.1 22
PF3D7_0206800.1 45
PF3D7_0206900.1 22
PF3D7_0207000.1 29
PF3D7_0207500.1 25
PF3D7_0207600.1 25
PF3D7_0207700.1 26
PF3D7_0208900.1 35
PF3D7_0209000.1 21
PF3D7_0212600.1 22
PF3D7_0214900.1 24
PF3D7_0219800.1 36
PF3D7_0220500.1 27
PF3D7_0220600.1 31
PF3D7_0220800.1 25
PF3D7_0221200.1 22
PF3D7_0221400.1 22
PF3D7_0222000.1 16
PF3D7_0222100.1 21
PF3D7_0222200.1 24
PF3D7_0222500.1 27
PF3D7_0222700.1 25
PF3D7_0222800.1 22
PF3D7_0223200.1 27
PF3D7_0223300.1 17
PF3D7_0223400.1 23
PF3D7_0300400.1 22
PF3D7_0300500.1 25
PF3D7_0300700.1 20
PF3D7_0300800.1 22
PF3D7_0300900.1 22
PF3D7_0301100.1 19
PF3D7_0301300.1 32
PF3D7_0302200.1 25
PF3D7_0302500.1 25
PF3D7_0304600.1 19
PF3D7_0310400.1 20
PF3D7_0313100.1 23
PF3D7_0315200.1 27
PF3D7_0317100.1 22
PF3D7_0320400.1 21
PF3D7_0323400.1 20
PF3D7_0324000.1 16
PF3D7_0324100.1 21
PF3D7_0324200.1 24
PF3D7_0324300.1 17
PF3D7_0324400.1 24
PF3D7_0324500.1 22
PF3D7_0324600.1 20
PF3D7_0324800.1 23
PF3D7_0400800.1 22
PF3D7_0400900.1 22
PF3D7_0401000.1 21
PF3D7_0401300.1 21
PF3D7_0401400.1 23
PF3D7_0401600.1 24
PF3D7_0401600.2 24
PF3D7_0401800.1 40
PF3D7_0402100.1 32
PF3D7_0402300.1 24
PF3D7_0402600.1 20
PF3D7_0404700.1 21
PF3D7_0404900.1 21
PF3D7_0405300.1 28
PF3D7_0405900.1 21
PF3D7_0406200.1 26
PF3D7_0408600.1 22
PF3D7_0408700.1 25
PF3D7_0413200.1 23
PF3D7_0413300.1 22
PF3D7_0419700.1 25
PF3D7_0421200.1 22
PF3D7_0423400.1 18
PF3D7_0423700.1 29
PF3D7_0423800.1 29
PF3D7_0424000.1 28
PF3D7_0424100.1 25
PF3D7_0424200.1 27
PF3D7_0425100.1 45
PF3D7_0425200.1 20
PF3D7_0425500.1 20
PF3D7_0500400.1 29
PF3D7_0500500.1 23
PF3D7_0501200.1 26
PF3D7_0501500.1 23
PF3D7_0501600.1 22
PF3D7_0502400.1 26
PF3D7_0507500.1 26
PF3D7_0508000.1 22
PF3D7_0511400.1 25
PF3D7_0511600.1 20
PF3D7_0513700.1 24
PF3D7_0522600.1 29
PF3D7_0530750.1 21
PF3D7_0532100.1 25
PF3D7_0532200.1 31
PF3D7_0532600.1 20
PF3D7_0532900.1 24
PF3D7_0600500.1 30
PF3D7_0600600.1 17
PF3D7_0601000.1 17
PF3D7_0601100.1 24
PF3D7_0601200.1 21
PF3D7_0601300.1 16
PF3D7_0601500.1 20
PF3D7_0612700.1 26
PF3D7_0612800.1 21
PF3D7_0616500.1 24
PF3D7_0617600.1 18
PF3D7_0617700.1 25
PF3D7_0620000.1 25
PF3D7_0620400.1 27
PF3D7_0621350.1 25
PF3D7_0624700.1 20
PF3D7_0629300.1 20
PF3D7_0631100.1 20
PF3D7_0631300.1 16
PF3D7_0631400.1 21
PF3D7_0631500.1 24
PF3D7_0631600.1 17
PF3D7_0631800.1 20
PF3D7_0631900.1 22
PF3D7_0632000.1 21
PF3D7_0632100.1 22
PF3D7_0632300.1 25
PF3D7_0632400.1 23
PF3D7_0700200.1 22
PF3D7_0700300.1 20
PF3D7_0700400.1 21
PF3D7_0700500.1 24
PF3D7_0700800.1 19
PF3D7_0701500.1 24
PF3D7_0701600.1 26
PF3D7_0701700.1 16
PF3D7_0701800.1 22
PF3D7_0702000.1 17
PF3D7_0702300.1 23
PF3D7_0707300.1 17
PF3D7_0713000.1 23
PF3D7_0713100.1 26
PF3D7_0718300.1 28
PF3D7_0722200.1 17
PF3D7_0731500.1 22
PF3D7_0731700.1 25
PF3D7_0732000.1 22
PF3D7_0732300.1 23
PF3D7_0732400.1 24
PF3D7_0732500.1 25
PF3D7_0732700.1 25
PF3D7_0732800.1 17
PF3D7_0800500.1 22
PF3D7_0800600.1 25
PF3D7_0800800.1 25
PF3D7_0801300.1 24
PF3D7_0807700.1 30
PF3D7_0808200.1 27
PF3D7_0808800.1 25
PF3D7_0808900.1 24
PF3D7_0812300.1 23
PF3D7_0818600.1 21
