id first_aa_of_tp
PF3D7_0103600.1 32
PF3D7_0106900.1 22
PF3D7_0107900.1 19
PF3D7_0111500.1 24
PF3D7_0203900.1 22
PF3D7_0204600.1 23
PF3D7_0206100.1 26
PF3D7_0208500.1 17
PF3D7_0209300.1 23
PF3D7_0211400.1 19
PF3D7_0302600.1 21
PF3D7_0305000.1 19
PF3D7_0307400.1 21
PF3D7_0307800.1 27
PF3D7_0311200.1 24
PF3D7_0313700.1 26
PF3D7_0313800.1 23
PF3D7_0314300.1 21
PF3D7_0316300.2 17
PF3D7_0316400.1 23
PF3D7_0319200.1 26
PF3D7_0321000.1 31
PF3D7_0408900.1 26
PF3D7_0408900.2 26
PF3D7_0410700.1 18
PF3D7_0411200.1 20
PF3D7_0414100.1 25
PF3D7_0414700.1 20
PF3D7_0416100.1 25
PF3D7_0420200.1 16
PF3D7_0503100.1 31
PF3D7_0505400.1 19
PF3D7_0508800.1 26
PF3D7_0509600.1 22
PF3D7_0514300.1 25
PF3D7_0516300.1 25
PF3D7_0518100.1 36
PF3D7_0520800.1 24
PF3D7_0521400.1 21
PF3D7_0522700.1 19
PF3D7_0526700.1 30
PF3D7_0529300.1 18
PF3D7_0530200.1 24
PF3D7_0602400.1 33
PF3D7_0604700.1 21
PF3D7_0607300.1 21
PF3D7_0608100.1 19
PF3D7_0615100.1 27
PF3D7_0616400.1 22
PF3D7_0622700.1 20
PF3D7_0623200.1 19
PF3D7_0624400.1 20
PF3D7_0626300.1 22
PF3D7_0628800.1 28
PF3D7_0704900.1 28
PF3D7_0706100.1 25
PF3D7_0707800.1 31
PF3D7_0711000.1 36
PF3D7_0716600.1 23
PF3D7_0719800.1 24
PF3D7_0723700.1 36
PF3D7_0727100.1 20
PF3D7_0727500.1 25
PF3D7_0728800.1 21
PF3D7_0729200.1 21
PF3D7_0804400.1 19
PF3D7_0806900.1 26
PF3D7_0811900.1 20
PF3D7_0812220.1 28
PF3D7_0813700.1 21
PF3D7_0815700.1 26
PF3D7_0815900.1 34
PF3D7_0816600.1 24
PF3D7_0820800.1 24
PF3D7_0823600.1 21
PF3D7_0827500.1 31
PF3D7_0827600.1 18
PF3D7_0828200.1 28
PF3D7_0904700.1 18
PF3D7_0906200.1 25
PF3D7_0907900.1 24
PF3D7_0911700.1 28
PF3D7_0913700.1 24
PF3D7_0913900.1 20
PF3D7_0914300.1 20
PF3D7_0916200.1 35
PF3D7_0916500.1 22
PF3D7_0918200.1 22
PF3D7_0920200.1 22
PF3D7_0920600.1 22
PF3D7_0921400.1 31
PF3D7_0922900.1 20
PF3D7_0925300.1 19
PF3D7_0929900.1 19
PF3D7_0930100.1 27
PF3D7_0934000.1 19
PF3D7_1005000.1 25
PF3D7_1005900.1 23
PF3D7_1015200.1 24
PF3D7_1015200.2 24
PF3D7_1018000.1 18
PF3D7_1020800.1 20
PF3D7_1021000.1 29
PF3D7_1021300.1 21
PF3D7_1022800.1 21
PF3D7_1025300.1 16
PF3D7_1032000.1 33
